month,snapshot_timestamp_utc,total_downloads_end_of_month,downloads_increase_vs_previous_month,source_file
2024-09,2024-09-30 01:30:24+00:00,32416497,,release_stats_2024-10-01_001.csv
2024-10,2024-10-31 00:13:17+00:00,34264659,1848162,release_stats_2024-11-01_001.csv
2024-11,2024-11-30 00:13:30+00:00,35801678,1537019,release_stats_2024-12-01_001.csv
2024-12,2024-12-31 00:12:55+00:00,37510692,1709014,release_stats_2025-01-01_001.csv
2025-01,2025-01-31 00:12:50+00:00,39123947,1613255,release_stats_2025-01-31_001.csv
2025-02,2025-02-28 00:13:38+00:00,40731147,1607200,release_stats_2025-02-28_001.csv
2025-03,2025-03-31 00:15:27+00:00,42554196,1823049,release_stats_2025-03-31_001.csv
2025-04,2025-04-30 00:14:53+00:00,44350406,1796210,release_stats_2025-04-30_001.csv
2025-05,2025-05-31 00:15:06+00:00,46270044,1919638,release_stats_2025-05-31_001.csv
2025-06,2025-06-30 00:16:54+00:00,48407574,2137530,release_stats_2025-06-30_001.csv
2025-07,2025-07-31 00:16:27+00:00,50325442,1917868,release_stats_2025-07-31_001.csv
2025-08,2025-08-31 00:16:35+00:00,52474092,2148650,release_stats_2025-08-31_001.csv
2025-09,2025-09-30 00:15:05+00:00,54404755,1930663,release_stats_2025-09-30_001.csv
2025-10,2025-10-31 00:15:41+00:00,54750978,346223,release_stats_2025-10-31_001.csv
2025-11,2025-11-30 00:18:04+00:00,56961669,2210691,release_stats_2025-11-30_001.csv
2025-12,2025-12-31 00:17:43+00:00,58449532,1487863,release_stats_2025-12-31_001.csv
2026-01,2026-01-31 00:19:39+00:00,59947842,1498310,release_stats_2026-01-31_001.csv
2026-02,2026-02-28 00:18:39+00:00,61158638,1210796,release_stats_2026-02-28_001.csv
2026-03,2026-03-31 00:25:24+00:00,62165323,1006685,release_stats_2026-03-31_001.csv
2026-04,2026-04-30 00:35:10+00:00,63394463,1229140,release_stats_2026-04-30_001.csv
2026-05,2026-05-31 00:43:22+00:00,64249229,854766,release_stats_2026-05-31_001.csv
2026-06,2026-06-30 00:55:08+00:00,69770479,5521250,release_stats_2026-06-30_001.csv
2026-07,2026-07-01 00:55:33+00:00,69808254,37775,release_stats.csv
